timestamp,gpu_id,memory_used_mib,utilization_gpu_pct,utilization_memory_pct,run_id
2026-07-14T12:17:05Z,0,0,0,0,direct_organizer-bnb-q4
2026-07-14T12:17:07Z,0,0,2,0,direct_organizer-bnb-q4
2026-07-14T12:17:10Z,0,0,2,0,direct_organizer-bnb-q4
2026-07-14T12:17:11Z,0,0,0,0,direct_organizer-bnb-q4
2026-07-14T12:17:12Z,0,11890,3,0,direct_organizer-bnb-q4
2026-07-14T12:17:13Z,0,11890,3,0,direct_organizer-bnb-q4
2026-07-14T12:17:14Z,0,11890,3,0,direct_organizer-bnb-q4
2026-07-14T12:17:15Z,0,11906,3,0,direct_organizer-bnb-q4
2026-07-14T12:17:16Z,0,11922,3,0,direct_organizer-bnb-q4
2026-07-14T12:17:17Z,0,11942,3,0,direct_organizer-bnb-q4
2026-07-14T12:17:18Z,0,12048,1,0,direct_organizer-bnb-q4
2026-07-14T12:17:19Z,0,12062,3,0,direct_organizer-bnb-q4
2026-07-14T12:17:20Z,0,12080,3,0,direct_organizer-bnb-q4
2026-07-14T12:17:21Z,0,12102,3,0,direct_organizer-bnb-q4
2026-07-14T12:17:22Z,0,12120,3,0,direct_organizer-bnb-q4
2026-07-14T12:17:23Z,0,12170,1,0,direct_organizer-bnb-q4
2026-07-14T12:17:24Z,0,12194,100,68,direct_organizer-bnb-q4
2026-07-14T12:17:25Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:26Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:27Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:28Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:29Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:30Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:31Z,0,12194,97,96,direct_organizer-bnb-q4
2026-07-14T12:17:32Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:33Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:34Z,0,12194,97,96,direct_organizer-bnb-q4
2026-07-14T12:17:35Z,0,12194,94,94,direct_organizer-bnb-q4
2026-07-14T12:17:36Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:38Z,0,12194,94,94,direct_organizer-bnb-q4
2026-07-14T12:17:39Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:40Z,0,12194,97,96,direct_organizer-bnb-q4
2026-07-14T12:17:41Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:42Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:43Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:44Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:45Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:46Z,0,12194,94,84,direct_organizer-bnb-q4
2026-07-14T12:17:47Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:48Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:49Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:50Z,0,12194,97,96,direct_organizer-bnb-q4
2026-07-14T12:17:51Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:52Z,0,12194,97,95,direct_organizer-bnb-q4
2026-07-14T12:17:53Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:54Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:55Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:56Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:17:57Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:17:58Z,0,12194,97,95,direct_organizer-bnb-q4
2026-07-14T12:17:59Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:00Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:01Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:02Z,0,12194,95,95,direct_organizer-bnb-q4
2026-07-14T12:18:03Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:04Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:05Z,0,12194,94,91,direct_organizer-bnb-q4
2026-07-14T12:18:06Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:07Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:08Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:09Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:10Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:11Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:12Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:13Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:14Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:15Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:16Z,0,12194,96,94,direct_organizer-bnb-q4
2026-07-14T12:18:17Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:18Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:19Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:20Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:21Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:22Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:23Z,0,12194,97,75,direct_organizer-bnb-q4
2026-07-14T12:18:24Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:25Z,0,12194,95,93,direct_organizer-bnb-q4
2026-07-14T12:18:26Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:27Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:28Z,0,12194,95,93,direct_organizer-bnb-q4
2026-07-14T12:18:29Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:30Z,0,12194,97,95,direct_organizer-bnb-q4
2026-07-14T12:18:31Z,0,12194,93,92,direct_organizer-bnb-q4
2026-07-14T12:18:32Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:33Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:34Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:35Z,0,12194,95,94,direct_organizer-bnb-q4
2026-07-14T12:18:36Z,0,12194,94,92,direct_organizer-bnb-q4
2026-07-14T12:18:37Z,0,12194,94,93,direct_organizer-bnb-q4
2026-07-14T12:18:38Z,0,12194,96,95,direct_organizer-bnb-q4
2026-07-14T12:18:39Z,0,12194,0,0,direct_organizer-bnb-q4
