timestamp_utc,system_id,track,lang_pair,base_model,compression_method,layer_policy,quantization_backend,calibration_data,fine_tuning_data,batch_size,num_source_lines,wall_seconds,seconds_per_line,model_load_seconds,peak_vram_mib,artifact_bytes,artifact_gib,output_path,valid_line_count,chrf,bleu,comet,metricx,notes
2026-07-14T11:38:42Z,layeraware-primary,constrained,eng-zho_Hans,google/gemma-3-12b-it,BitsAndBytes 4-bit,global_bnb_q4,bitsandbytes,none,none,1,1,11.413965,11.413965,,12204,8353809477,7.780,data/prepared/modelzip_work/tests/eng-zho_Hans/warmup.eng-zho_Hans.zho_Hans.layeraware-primary.out.batch1.run1,true,100.0,,,,Warmup only; evaluator scoring succeeded but default backup path was not writable
2026-07-14T12:08:10Z,baseline-bf16,constrained,eng-zho_Hans,google/gemma-3-12b-it,None,all BF16,PyTorch,none,none,8,32,56.022170,1.750693,5.588640,25366,24414181813,22.737,results/predictions/baseline-bf16.cmp32.txt,true,27.900001,32.098198,,,Generation 45.890s or 1.434s/line; first 32 WMT25-ref records
2026-07-14T12:05:03Z,organizer-bnb-q8,constrained,eng-zho_Hans,google/gemma-3-12b-it,BitsAndBytes int8,global q8,bitsandbytes,none,none,8,32,161.382333,5.043198,31.000769,16092,13250249250,12.340,results/predictions/organizer-bnb-q8.cmp32.txt,true,27.697840,31.827719,,,Generation 125.696s or 3.928s/line; first 32 WMT25-ref records
2026-07-14T11:59:47Z,organizer-bnb-q4,constrained,eng-zho_Hans,google/gemma-3-12b-it,BitsAndBytes NF4,global q4,bitsandbytes,none,none,8,32,93.492929,2.921654,12.757253,12194,8353809477,7.780,results/predictions/organizer-bnb-q4.cmp32.txt,true,27.645731,31.949059,,,Generation 76.146s or 2.380s/line; first 32 WMT25-ref records
2026-07-14T12:01:33Z,layeraware-native-mlp-q4,constrained,eng-zho_Hans,google/gemma-3-12b-it,Selective BitsAndBytes NF4,144 text MLP projections q4; rest BF16,bitsandbytes,none,none,8,32,94.505960,2.953311,17.675295,13298,11804446040,10.994,results/predictions/layeraware-native-mlp-q4.cmp32.txt,true,28.098187,32.318035,,,Generation 72.227s or 2.257s/line; first 32 WMT25-ref records
2026-07-14T12:09:54Z,iwslt-storage-codec-q3,constrained,eng-zho_Hans,google/gemma-3-12b-it,Quantize q3 plus Zstd,144 text MLP projections storage-coded; decoded BF16,numcodecs,none,none,8,32,78.239196,2.444975,26.973209,25400,15521547822,14.457,results/predictions/iwslt-storage-codec-q3.cmp32.txt,true,27.659466,31.796451,,,Generation 46.424s or 1.451s/line; exact storage measured; speed omits Zstd decode
2026-07-14T12:45:00Z,baseline-bf16,constrained,eng-zho_Hans,google/gemma-3-12b-it,None,all BF16,PyTorch,none,none,8,332,466.101582,1.403920,11.946111,27096,24414181813,22.737,results/predictions/baseline-bf16.full331.txt,true,28.448971,31.645789,,,Generation 449.394s or 1.354s/line; full WMT25 reference-backed set
2026-07-14T13:06:00Z,organizer-bnb-q4,constrained,eng-zho_Hans,google/gemma-3-12b-it,BitsAndBytes NF4,global q4,bitsandbytes,none,none,8,332,772.187447,2.325866,13.292175,12330,8353809477,7.780,results/predictions/organizer-bnb-q4.full331.txt,true,27.673904,30.804467,,,Generation 754.066s or 2.271s/line; full WMT25 reference-backed set
2026-07-14T13:19:00Z,layeraware-native-mlp-q4,constrained,eng-zho_Hans,google/gemma-3-12b-it,Selective BitsAndBytes NF4,144 text MLP projections q4; rest BF16,bitsandbytes,none,none,8,332,743.050911,2.238105,16.376955,14988,11804446040,10.994,results/predictions/layeraware-native-mlp-q4.full331.txt,true,28.301872,31.365279,,,Generation 722.072s or 2.175s/line; full WMT25 reference-backed set
2026-07-14T13:27:00Z,iwslt-storage-codec-q3,constrained,eng-zho_Hans,google/gemma-3-12b-it,Quantize q3 plus Zstd,144 text MLP projections storage-coded; decoded BF16,numcodecs,none,none,8,332,484.787341,1.460203,29.465514,27066,15521547822,14.457,results/predictions/iwslt-storage-codec-q3.full331.txt,true,28.255525,31.386846,,,Generation 450.754s or 1.358s/line; speed omits Zstd decode
